
2025/04/05 (14:11:34) | ===> btop++ v.1.4.0
2025/04/05 (14:11:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/05 (14:11:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (22:18:27) | ===> btop++ v.1.4.0
2025/04/05 (22:18:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/05 (22:18:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/05 (22:18:37) | WARNING: Failed to join _runner thread on exit!

2025/04/05 (22:18:40) | ===> btop++ v.1.4.0
2025/04/05 (22:18:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/05 (22:18:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/05 (22:18:52) | WARNING: Failed to join _runner thread on exit!
